176	
		
0	0	24.75	3
1	0	24.75	3
2	0	24.75	3
3	0	24.75	3
4	1	47.5	3
5	1	47.5	3
6	1	47.5	3
7	1	47.5	3
8	2	70	3
9	2	70	3
10	2	70	3
11	2	70	3
12	2	70	3
13	2	70	3
14	3	25	3
15	3	25	3
16	3	25	3
17	3	25	3
18	3	25	3
19	3	30	3
20	3	12	3
21	4	22.5	3
22	4	22.5	3
23	4	22.5	3
24	4	22.5	3
25	4	22.5	3
26	4	22.5	3
27	5	65	3
28	5	65	3
29	5	65	3
30	5	65	3
31	5	65	3
32	5	65	3
33	5	65	3
34	5	65	3
35	5	65	3
36	6	60	3
37	6	60	3
38	6	60	3
39	6	60	3
40	7	36	3
41	7	36	3
42	7	36	3
43	7	36	3
44	7	36	3
45	8	60	3
46	8	60	3
47	8	60	3
48	8	60	3
49	8	60	3
50	9	85	3
51	9	85	3
52	9	85	3
53	9	85	3
54	9	85	3
55	9	85	3
56	9	85	3
57	9	85	3
58	9	85	3
59	9	85	3
60	9	85	3
61	9	85	3
62	10	100	3
63	10	100	3
64	10	100	3
65	10	100	3
66	10	100	3
67	10	100	3
68	10	100	3
69	10	100	3
70	10	100	3
71	10	100	3
72	10	100	3
73	10	100	3
74	10	100	3
75	10	100	3
76	10	100	3
77	10	100	3
78	11	9	3
79	11	9	3
80	12	70	3
81	12	70	3
82	12	70	3
83	12	70	3
84	12	70	3
85	12	70	3
86	12	70	3
87	12	70	3
88	12	70	3
89	12	70	3
90	12	70	3
91	12	70	3
92	12	70	3
93	12	70	3
94	12	70	3
95	12	70	3
96	12	70	3
97	12	70	3
98	13	80	3
99	13	80	3
100	13	80	3
101	13	80	3
102	13	80	3
103	13	80	3
104	13	80	3
105	13	80	3
106	13	45	3
107	13	45	3
108	13	45	3
109	14	6	3
110	14	6	3
111	15	9.5	3
112	15	9.5	3
113	15	9.5	3
114	16	9.5	3
115	16	9.5	3
116	17	6.7	3
117	17	6.7	3
118	17	6.7	3
119	18	5.5	3
120	18	5.5	3
121	18	5.5	3
122	19	5	3
123	19	5	3
124	19	5	3
125	20	10	3
126	20	10	3
127	20	10	3
128	21	10.5	3
129	21	10.5	3
130	21	10.5	3
131	22	6	3
132	22	6	3
133	22	6	3
134	22	6	3
135	23	8	3
136	23	8	3
137	23	8	3
138	24	3.6	3
139	24	3.6	3
140	24	3.6	3
141	25	7	3
142	25	7	3
143	25	7	3
144	26	30	3
145	26	30	3
146	26	30	3
147	26	30	3
148	27	30	3
149	27	30	3
150	27	30	3
151	27	30	3
152	27	30	3
153	27	30	3
154	28	60	3
155	28	60	3
156	28	60	3
157	28	60	3
158	29	60	3
159	29	60	3
160	30	30	3
161	30	30	3
162	31	130	3
163	31	230	3
164	32	630	3
165	32	730	3
166	33	60	3
167	33	60	3
168	34	60	3
169	34	60	3
170	35	20	3
171	35	20	3
172	35	30	3
173	35	30	3
174	36	30	3
175	36	20	3
