		12				
						
						
17	2020.775	2169.125	0	35.4	154.925	1209.825
18	1960.075	2106.15	0	15.375	157.725	1196.125
19	1885.525	2093.3	0	3.05	166.325	1199.375
20	1905.225	1999.375	0	0.025	184.95	1178.15
21	1848.075	1872.875	0	0	203.4	1093.3
22	1700.075	1723.925	0	0	215.575	1014.675
23	1562.9	1614.3	0	0	224	934.475
						
26						
0	1711.8	2877.45	0	0	313.95	1548.275
1	1657.575	2859.65	0	0	313.7	1548.15
2	1627.325	2819.075	0	0	307.775	1543.175
3	1603.85	2775.725	0	0	294.825	1527.25
4	1591.65	2775.325	0	0	278.6	1525.225
5	1611.05	2752.075	0	0	260.175	1525.025
6	1744.825	2645.825	0	0.375	240.125	1530
7	1859.15	2613.425	0	9.525	206.025	1547.9
8	1986	2611.45	0	39.45	160.55	1571.9
9	2107.025	2651.975	0	81.475	128.15	1606.8
10	2191.05	2660.925	0	121.475	110.675	1629.775
11	2187.075	2653.425	0	159.3	102.85	1624.975
12	1984.4	2624.65	0	191.05	100.35	1581.625
13	1931.825	2657.4	0	199.55	100.075	1576.325
14	1975.25	2685.525	0	184.9	102.6	1580.95
15	2023.6	2693.425	0	151.875	104.175	1626.65
16	2096.1	2694	0	118.875	108.85	1642.375
17	2200.125	2692.925	0	77.175	114.675	1692.75
18	2146.65	2656.525	0	34.475	121.525	1658.35
19	2062.925	2641.375	0	6.65	125.65	1634.1
20	2079.775	2599.45	0	0.1	130.025	1602.575
21	2051.925	2580.25	0	0	133.2	1588.85
22	1950.275	2603.175	0	0	132.925	1574.425
23	1841.4	2674.8	0	0	132.9	1568.25
						
30						
0	1513.175	2832.325	0	0	240.875	1681.625
1	1463.1	2806.1	0	0	252.675	1679.2
2	1430.1	2807	0	0	264.875	1678.95
3	1411.725	2807.4	0	0	273.875	1676.2
4	1406.6	2806.625	0	0	278.95	1674.275
5	1424.725	2807.125	0	0	280.15	1674.3
6	1526.925	2806.3	0	0.175	277.625	1673.725
7	1657.25	2809.45	0	3.9	262.425	1693.925
8	1792.225	2878.475	0	14.45	230.675	1730.075
9	1947.4	3050.925	0	28.775	215.7	1796.55
10	2024.525	3094.7	0	42.075	220.025	1832.325
11	2019.45	3081.55	0	54.225	234.15	1829.425
12	1830.1	2923.025	0	66.2	248.325	1732.775
13	1762.45	2917.2	0	72.125	259.275	1722.55
14	1770.5	2991.8	0	67.45	267.9	1721.25
15	1825.1	3095.625	0	56.725	276.075	1770.35
16	1913.375	3107.4	0	43.95	281.45	1811.575
17	2020.3	3104.25	0	30.15	286.35	1850.1
18	1965.05	3067.9	0	14.175	290.9	1799.5
19	1894.575	3058	0	2.975	296.75	1753.25
20	1904.325	3023.175	0	0.075	316.825	1750.8
21	1850.45	2988.25	0	0	334.375	1742.15
22	1731.025	2945.2	0	0	343.3	1715
23	1591.275	2902.475	0	0	352.675	1702.75
						
34						
0	1449.45	1837	0	0	80.325	1422.975
1	1396.575	1753.25	0	0	62.675	1348.25
2	1357.1	1689.5	0	0	48.775	1327.8
3	1331.2	1633.25	0	0	37.4	1306.975
4	1318.375	1622	0	0	29.05	1296.975
5	1336.6	1622	0	0	24.3	1317.875
6	1427.025	1622	0	0.075	21.775	1353.825
7	1546.425	1622	0	4.675	20.175	1418.45
8	1659.725	1913.25	0	21.25	17.925	1544.975
9	1786.6	2312	0	47.3	15.525	1669.575
10	1869.525	2397	0	73.3	14.55	1669.625
11	1879.6	2359.5	0	99.225	14.825	1661.15
12	1690.2	2159.5	0	117.35	16.875	1587.775
13	1631.1	2147	0	126.05	20.85	1593.7
14	1651.45	2322	0	116.35	26.6	1665.15
15	1702.875	2397	0	97.425	32.325	1687.75
16	1779.425	2397	0	74.825	39.75	1690.275
17	1882	2397	0	44.75	50.3	1691.325
18	1856.275	2384.5	0	18.25	62.625	1683.025
19	1792.3	2329.5	0	2.775	77.925	1643.075
20	1811.9	2255.75	0	0.025	93.925	1610.325
21	1756.55	2182	0	0	100.925	1595.275
22	1653.25	2102	0	0	99.3	1568.8
23	1545.05	2044.5	0	0	90.7	1554.625
						
39						
0	1334.7	2433.925	0	0	117.675	1615.675
1	1281.825	2332.675	0	0	113.025	1557.3
2	1248.75	2236.65	0	0	110.5	1476.6
3	1227.85	2174.775	0	0	109.075	1391.1
4	1215.6	2150.45	0	0	109.325	1353.875
5	1225.85	2134.85	0	0	109.65	1359.125
6	1337.525	2134.375	0	0.025	108.675	1447
7	1485.55	2133.325	0	5.5	105.025	1561
8	1607.6	2376.475	0	28.2	96.5	1673.925
9	1727.075	2671.275	0	65.05	85.3	1732.7
10	1805.4	2668.175	0	102.25	77.25	1737.175
11	1820.625	2635.1	0	133.7	69.5	1720.35
12	1626.825	2331.075	0	155.175	63.3	1634.2
13	1545.825	2433.275	0	167.1	60.025	1640.575
14	1564.775	2679.8	0	157.175	59.225	1701.05
15	1608.25	2682.2	0	127.075	58.9	1715.2
16	1697.325	2682.25	0	97.45	60.575	1725.775
17	1815.7	2676.525	0	55.375	64.15	1742.225
18	1788.075	2655.75	0	20.775	70.05	1722.25
19	1778	2644.325	0	3.225	77.775	1700.075
20	1713.65	2598.525	0	0.025	82.5	1665.75
21	1630.2	2537.925	0	0	83.325	1655.525
22	1523.675	2468.725	0	0	81.3	1640.1
23	1418.6	2393.25	0	0	77.65	1622.75
						
						
43						
0	1408.525	1371.225	0	0	165.3	968.95
