0 		217 	217 	217 	217 	213 	213 	213 	213 	243 	243 	243 	243 	243 	359 	359 	359 	359 	359 	495 	495 	495 	495 	600 	847 	847 	847 	847 	1440 	1440 	1440 	1440 	1070 	1070 	1070 	1070 	1640 	1640 	1640 	1640 	878 	878 	878 	878 	503 	503 	503 	503 	308 	308 	308 	308 	308 
1 		251 	251 	251 	251 	235 	235 	235 	235 	289 	289 	289 	289 	289 	585 	585 	585 	585 	585 	771 	771 	771 	771 	900 	1130 	1130 	1130 	1130 	1800 	1800 	1800 	1800 	2590 	2590 	2590 	2590 	1390 	1390 	1390 	1390 	887 	887 	887 	887 	561 	561 	561 	561 	360 	360 	360 	360 	360 
2 		311 	311 	311 	311 	298 	298 	298 	298 	345 	345 	345 	345 	345 	687 	687 	687 	687 	687 	864 	864 	864 	864 	1000 	1226 	1226 	1226 	1226 	2065 	2065 	2065 	2065 	1933 	1933 	1933 	1933 	2391 	2391 	2391 	2391 	1739 	1739 	1739 	1739 	856 	856 	856 	856 	541 	541 	541 	541 	541 
3 		412 	412 	412 	412 	296 	296 	296 	296 	389 	389 	389 	389 	389 	636 	636 	636 	636 	636 	928 	928 	928 	928 	1025 	1094 	1094 	1094 	1094 	1648 	1648 	1648 	1648 	1503 	1503 	1503 	1503 	1956 	1956 	1956 	1956 	1400 	1400 	1400 	1400 	910 	910 	910 	910 	640 	640 	640 	640 	640 
4 		484 	484 	484 	484 	273 	273 	273 	273 	345 	345 	345 	345 	345 	679 	679 	679 	679 	679 	961 	961 	961 	961 	1110 	1130 	1130 	1130 	1130 	1740 	1740 	1740 	1740 	1648 	1648 	1648 	1648 	2038 	2038 	2038 	2038 	1612 	1612 	1612 	1612 	998 	998 	998 	998 	698 	698 	698 	698 	698 
5 		689 	689 	689 	689 	346 	346 	346 	346 	387 	387 	387 	387 	387 	740 	740 	740 	740 	740 	953 	953 	953 	953 	1200 	1273 	1273 	1273 	1273 	2111 	2111 	2111 	2111 	2256 	2256 	2256 	2256 	2365 	2365 	2365 	2365 	2251 	2251 	2251 	2251 	1271 	1271 	1271 	1271 	945 	945 	945 	945 	945 
6 		415 	415 	415 	415 	440 	440 	440 	440 	693 	693 	693 	693 	693 	670 	670 	670 	670 	1400 	1400 	1400 	1400 	1670 	1670 	1670 	1670 	1670 	3950 	3950 	3950 	3950 	1880 	1880 	1880 	1880 	2090 	2090 	2090 	2090 	2090 	1310 	1310 	1310 	1310 	680 	680 	680 	680 	490 	490 	490 	490 	490 
7 		430 	430 	430 	430 	455 	455 	455 	455 	708 	708 	708 	708 	708 	685 	685 	685 	685 	1415 	1415 	1415 	1415 	1685 	1685 	1685 	1685 	1685 	3965 	3965 	3965 	3965 	1895 	1895 	1895 	1895 	2105 	2105 	2105 	2105 	2105 	1325 	1325 	1325 	1325 	695 	695 	695 	695 	505 	505 	505 	505 	505 
8 		480 	480 	480 	480 	505 	505 	505 	505 	763 	763 	763 	763 	763 	719 	719 	719 	719 	1452 	1452 	1452 	1452 	1770 	1770 	1770 	1770 	1770 	4116 	4116 	4116 	4116 	2076 	2076 	2076 	2076 	2232 	2232 	2232 	2232 	2232 	1488 	1488 	1488 	1488 	750 	750 	750 	750 	537 	537 	537 	537 	537 
9 		1558 	1499 	1452 	1440 	1365 	1331 	1321 	1366 	1425 	1494 	1192 	1261 	1291 	1162 	1255 	1571 	2268 	1779 	1907 	2186 	2148 	3371 	4547 	6100 	6148 	6257 	6481 	6972 	6262 	5206 	3910 	3448 	3277 	4332 	4239 	4547 	5409 	4466 	4923 	5742 	4496 	3625 	2880 	2329 	2153 	2007 	1820 	1635 	1518 	1403 	1299 	1299 
