85.3693	235.482	209.498
87.8528	232.792	209.519
85.2916	232.161	207.042
82.8528	227.592	210.407
85.3693	224.616	210.431
87.8568	221.335	210.444
85.2957	218.309	210.455
82.8568	215.014	210.363
85.3693	214.349	205.964
87.8265	213.819	202.71
87.8265	213.365	199.453
85.2654	213.114	196.13
82.8265	212.718	192.322
85.269	213.696	187.263
87.7094	215.424	181.86
87.7094	217.285	176.06
87.7094	216.968	172.214
85.1482	211.336	178.866
82.5719	206.322	183.692
82.5719	201.255	187.996
85.1316	195.825	192.296
85.0107	191.098	195.91
82.4658	186.933	199.35
83.1025	183.667	202.655
83.0061	181.03	205.358
82.1207	181.769	203.607
82.1207	183.949	204.314
81.1527	191.756	201.671
81.1527	198.536	203.646
81.1527	203.469	205.937
83.6476	209.292	204.527
84.009	215.096	203.84
81.6389	220.398	203.813
81.6389	225.398	203.866
81.6389	231.68	202.413
81.1527	235.66	206.081
81.1527	239.489	207.598
81.1527	240.644	210.093
83.6476	242.083	206.046
84.4238	243.033	206.239
84.6821	243.308	206.214
84.4238	242.795	207.543
84.6821	243.349	207.248
86.8171	245.161	209.877
86.8524	245.063	209.84
87.5638	244.967	209.861
85.0027	245.051	209.914
82.7609	244.07	209.483
85.3206	242.388	209.427
87.7609	240.696	209.457
85.1997	239.244	209.492
82.7609	237.714	209.432
