90	4.53	204 	0.10 
91	4.48	204 	0.09 
92	4.43	204 	0.08 
93	4.38	204 	0.07 
94	4.33	204 	0.06 
95	4.28	204 	0.05 
96	4.24	204 	0.04 
97	4.2	204 	0.03 
98	4.16	204 	0.02 
99	4.11	204 	0.01 
100	4.07	204 	0.00 
101	4.03	202 	0.00 
102	3.99	200 	0.00 
103	3.95	198 	0.00 
104	3.91	196 	0.00 
105	3.88	194 	0.00 
106	3.85	193 	0.00 
107	3.81	191 	0.00 
			
12	6		
150	3.26	8365 	0.27 
155	2.98	8365 	0.20 
176	2.65	8365 	0.10 
186	2.39	8365 	0.00 
197	2.18	7630 	0.00 
229	2.02	7070 	0.00 
			
13	20		
83	5.13	9601 	0.13 
83	5.1	9601 	0.13 
84	5.04	9601 	0.12 
85	4.98	9601 	0.10 
86	4.92	9601 	0.09 
87	4.87	9601 	0.08 
88	4.81	9601 	0.07 
89	4.76	9601 	0.06 
90	4.71	9601 	0.05 
91	4.65	9601 	0.04 
92	4.6	9601 	0.03 
93	4.55	9601 	0.02 
94	4.51	9601 	0.01 
95	4.46	9601 	0.00 
96	4.41	9494 	0.00 
97	4.37	9408 	0.00 
98	4.32	9300 	0.00 
99	4.28	9214 	0.00 
100	4.24	9128 	0.00 
114	3.73	8030 	0.00 
			
14	10		
52.2	7.43	192 	0.22 
55	7.06	192 	0.18 
57.8	6.71	192 	0.14 
60.6	6.41	192 	0.10 
63.4	6.14	192 	0.06 
66.2	5.91	192 	0.03 
69	5.77	192 	0.00 
71.8	5.73	191 	0.00 
74.6	5.6	187 	0.00 
77.4	5.59	186 	0.00 
			
15	5		
71.2	6.18	343 	0.30 
89.2	5.51	343 	0.21 
107.2	4.33	343 	0.00 
119.2	3.85	305 	0.00 
125.2	3.65	289 	0.00 
			
16	19		
87.7	4.5	186 	0.22 
90	4.38	186 	0.20 
92	4.29	186 	0.18 
94	4.2	186 	0.16 
96	4.11	186 	0.14 
98	4.03	186 	0.13 
100	3.95	186 	0.11 
102	3.87	186 	0.09 
104	3.79	186 	0.07 
106	3.72	186 	0.05 
108	3.65	186 	0.03 
110	3.59	186 	0.02 
112	3.52	186 	0.00 
114	3.46	183 	0.00 
116	3.4	179 	0.00 
118	3.34	176 	0.00 
120	3.29	174 	0.00 
122	3.23	170 	0.00 
124	3.18	168 	0.00 
			
17	10		
286.9	1.47	71 	0.13 
293.8	1.43	71 	0.11 
300.7	1.39	71 	0.09 
307.6	1.36	71 	0.06 
314.5	1.33	71 	0.04 
321.4	1.31	71 	0.03 
328.3	1.28	71 	0.00 
335.2	1.23	69 	0.00 
342.1	1.21	68 	0.00 
349	1.19	66 	0.00 
			
18	10		
29	14.6	626 	0.06 
29.33	14.44	626 	0.05 
29.67	14.28	626 	0.04 
30	14.12	626 	0.03 
30.33	13.96	626 	0.02 
30.67	13.81	626 	0.01 
31	13.66	626 	0.00 
31.33	13.52	620 	0.00 
31.67	13.37	613 	0.00 
32	13.24	607 	0.00 
			
			
19	10		
59.6	6.65	201 	0.27 
63.7	6.26	201 	0.23 
67.8	5.9	201 	0.18 
71.9	5.5	201 	0.12 
76	5.21	201 	0.07 
80.1	4.95	201 	0.03 
84.2	4.82	201 	0.00 
88.3	4.64	193 	0.00 
92.4	4.4	183 	0.00 
96.5	4.22	176 	0.00 
			
20	21		
290	1.43	96 	0.19 
295	1.4	96 	0.18 
300	1.38	96 	0.17 
305	1.36	96 	0.15 
310	1.33	96 	0.13 
315	1.31	96 	0.12 
320	1.29	96 	0.11 
325	1.27	96 	0.09 
330	1.25	96 	0.08 
335	1.23	96 	0.06 
340	1.21	96 	0.05 
345	1.2	96 	0.04 
350	1.18	96 	0.02 
355	1.16	96 	0.01 
360	1.15	96 	0.00 
365	1.13	94 	0.00 
370	1.12	93 	0.00 
375	1.11	93 	0.00 
380	1.1	92 	0.00 
385	1.08	90 	0.00 
390	1.07	89 	0.00 
			
21	15		
320	1.4	92 	0.25 
330	1.33	92 	0.21 
340	1.28	92 	0.18 
350	1.24	92 	0.15 
360	1.2	92 	0.12 
370	1.17	92 	0.10 
380	1.14	92 	0.08 
390	1.11	92 	0.05 
400	1.08	92 	0.03 
410	1.05	92 	0.00 
420	1.02	89 	0.00 
430	0.99	87 	0.00 
440	0.96	84 	0.00 
450	0.93	81 	0.00 
460	0.9	79 	0.00 
			
22	13		
66.41	5.82	359 	0.07 
67	5.87	359 	0.08 
68	5.89	359 	0.09 
68.5	5.86	359 	0.08 
69	5.8	359 	0.07 
70	5.68	359 	0.05 
71	5.57	359 	0.03 
72	5.48	359 	0.02 
73	5.38	359 	0.00 
74	5.3	353 	0.00 
75	5.22	348 	0.00 
76	5.15	343 	0.00 
76.6	5.11	341 	0.00 
			
23	5		
60	6.48	368 	0.15 
65	5.94	368 	0.07 
70	5.52	368 	0.00 
75	5.2	347 	0.00 
80	4.93	329 	0.00 
			
24	10		
41.9	9.83	232 	0.21 
44	9.49	232 	0.19 
46.1	9.06	232 	0.15 
48.2	8.66	232 	0.11 
50.3	8.3	232 	0.07 
52.4	8.03	232 	0.04 
54.5	7.73	232 	0.00 
56.6	7.35	221 	0.00 
58.7	7.1	213 	0.00 
60.8	6.95	209 	0.00 
			
25	10		
53.8	7.59	340 	0.23 
56.6	7.17	340 	0.19 
59.4	6.83	340 	0.15 
62.2	6.56	340 	0.11 
65	6.28	340 	0.07 
67.8	6.02	340 	0.03 
70.6	5.82	340 	0.00 
73.4	5.66	330 	0.00 
76.2	5.54	323 	0.00 
79	5.46	319 	0.00 
