0		221 	221 	221 	221 	203 	203 	203 	203 	224 	224 	224 	224 	224 	332 	332 	332 	332 	539 	539 	539 	539 	1500 	1500 	1500 	1500 	1500 	1150 	1150 	1150 	1150 	1040 	1040 	1040 	1040 	702 	702 	702 	702 	702 	551 	551 	551 	551 	345 	345 	345 	345 	218 	218 	218 	218 	218 
1		267 	267 	267 	267 	246 	246 	246 	246 	276 	276 	276 	276 	276 	419 	419 	419 	419 	645 	645 	645 	645 	1660 	1660 	1660 	1660 	1660 	1360 	1360 	1360 	1360 	1310 	1310 	1310 	1310 	847 	847 	847 	847 	847 	725 	725 	725 	725 	443 	443 	443 	443 	277 	277 	277 	277 	277 
2		457 	457 	457 	457 	380 	380 	380 	380 	364 	364 	364 	364 	364 	514 	514 	514 	514 	710 	710 	710 	710 	1821 	1821 	1821 	1821 	1821 	1949 	1949 	1949 	1949 	2533 	2533 	2533 	2533 	1583 	1583 	1583 	1583 	1583 	1425 	1425 	1425 	1425 	828 	828 	828 	828 	507 	507 	507 	507 	507 
3		462 	462 	462 	462 	384 	384 	384 	384 	368 	368 	368 	368 	368 	519 	519 	519 	519 	718 	718 	718 	718 	1840 	1840 	1840 	1840 	1840 	1970 	1970 	1970 	1970 	2560 	2560 	2560 	2560 	1600 	1600 	1600 	1600 	1600 	1440 	1440 	1440 	1440 	837 	837 	837 	837 	512 	512 	512 	512 	512 
4		535 	535 	535 	535 	434 	434 	434 	434 	401 	401 	401 	401 	401 	540 	540 	540 	540 	755 	755 	755 	755 	1950 	1950 	1950 	1950 	1950 	2310 	2310 	2310 	2310 	3100 	3100 	3100 	3100 	1950 	1950 	1950 	1950 	1950 	1630 	1630 	1630 	1630 	982 	982 	982 	982 	599 	599 	599 	599 	599 
5		590 	590 	590 	590 	490 	490 	490 	490 	470 	470 	470 	470 	470 	663 	663 	663 	663 	917 	917 	917 	917 	2350 	2350 	2350 	2350 	2350 	2516 	2516 	2516 	2516 	3269 	3269 	3269 	3269 	2043 	2043 	2043 	2043 	2043 	1839 	1839 	1839 	1839 	1069 	1069 	1069 	1069 	654 	654 	654 	654 	654 
6		477 	477 	477 	477 	415 	415 	415 	415 	419 	419 	419 	419 	419 	542 	542 	542 	542 	808 	808 	808 	808 	1750 	1750 	1750 	1750 	1750 	2090 	2090 	2090 	2090 	2740 	2740 	2740 	2740 	2300 	2300 	2300 	2300 	2300 	1390 	1390 	1390 	1390 	779 	779 	779 	779 	476 	476 	476 	476 	476 
7		430 	430 	430 	430 	455 	455 	455 	455 	708 	708 	708 	708 	708 	685 	685 	685 	685 	1415 	1415 	1415 	1415 	1685 	1685 	1685 	1685 	1685 	3965 	3965 	3965 	3965 	1895 	1895 	1895 	1895 	2105 	2105 	2105 	2105 	2105 	1325 	1325 	1325 	1325 	695 	695 	695 	695 	505 	505 	505 	505 	505 
8		480 	480 	480 	480 	505 	505 	505 	505 	763 	763 	763 	763 	763 	719 	719 	719 	719 	1452 	1452 	1452 	1452 	1770 	1770 	1770 	1770 	1770 	4116 	4116 	4116 	4116 	2076 	2076 	2076 	2076 	2232 	2232 	2232 	2232 	2232 	1488 	1488 	1488 	1488 	750 	750 	750 	750 	537 	537 	537 	537 	537 
9		1357 	1357 	1357 	1357 	1130 	1130 	1130 	1130 	1061 	1061 	1061 	1061 	1061 	1169 	1169 	1169 	1169 	1766 	1766 	1766 	1766 	4431 	4431 	4431 	4431 	4431 	6655 	6655 	6655 	6655 	8222 	8222 	8222 	8222 	6395 	6395 	6395 	6395 	6395 	4945 	4945 	4945 	4945 	2680 	2680 	2680 	2680 	1571 	1571 	1571 	1571 	1571 
