	26					
						
0	1	0 	8661 	1901 	1906 	1906 
1	2	0 	30000	1405 	1405 	1619 
2	3	270 	15666 	1166 	1236 	1238 
3	4	280 	18500 	988 	994 	994 
4	5	300 	16295 	887 	887 	899 
5	-1	388 	27418 	765 	804 	811 
6	7	0 	12200 	1605 	1605 	1618 
7	8	0 	20000 	1290 	1298 	1298 
8	9	350 	16900 	1122 	1122 	1134 
9	10	0 	30000	950 	975 	975 
10	12	145 	30000	760 	825 	825 
11	12	0 	30000	1050 	1065 	1071 
12	13	1200 	30000	540 	560 	604 
13	-1	1200 	30000	370 	380 	380 
14	15	0 	4000 	818 	818 	835 
15	16	0 	5907 	605 	639 	639 
16	18	0 	4333 	705 	737 	737 
17	18	0 	1590 	860 	900 	901 
18	-1	60 	8459 	365 	365 	366 
19	-1	0 	4000 	389 	423 	427 
20	-1	0 	2322 	555 	627 	629 
21	22	0 	2110 	1560 	1590 	1590 
22	-1	51 	3870 	250 	255 	255 
23	-1	0 	3256 	845 	871 	873 
24	25	0 	5750 	951 	962 	962 
25	-1	0 	6634 	877 	886 	902 
